time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.999999924830588,4.4688590689073e-08,10.006099354474475,4.721673080698707e-05,7.630528513757895e-05,0.0,-7.115201063969214e-06,4.311530353845045e-06,0.20329687435170785,0.002316264748126178,0.0037013097290029334,0.0,468.8034645337388,469.09089496988184,468.0240179240747,468.20421025622505
0.12000000000000001,4.999996436814092,2.5799505989360866e-06,10.025767973201955,0.0005176057400486656,0.0004008403394388793,0.0,-0.00014330374667016727,0.00012024381143022207,0.4522580477107882,0.017072657045535032,0.008622482139382721,0.0,481.7378487785565,482.10966378523045,481.363978610502,482.47907272792327
0.18,4.999978426125108,2.369641879504103e-05,10.05430834730633,0.001936699300281397,0.0005968112526550939,0.0,-0.0004934821897129373,0.0007009635487791747,0.4990679769094014,0.03432707845620031,-0.010491767519004321,0.0,422.7729929428595,421.1230885814649,417.10916753919673,418.61317657386866
0.23999999999999996,4.999937212873767,0.00012091781692893534,10.090358437845104,0.004075290881539573,0.0001407333975986802,0.0,-0.0008172048890625301,0.0027859243687999176,0.7024978493962036,0.03815288405453897,-0.0023699175023557902,0.0,468.82139333842093,469.45204290528983,468.4347348792141,468.73258769461086
0.3,4.999885911352637,0.0003793335886173358,10.134997327275206,0.006876066214282162,6.2831310811746075,0.0,-0.0008761309579990004,0.006084746935111735,0.7854101005068224,0.05981725358791717,-0.005068951874073856,0.0,431.9029940221899,431.67539229894055,431.23374171535545,433.0609321473535
0.36000000000000004,4.999835487882405,0.0008858307250022974,10.183216494767764,0.010469632810217178,6.282687051965544,0.0,-0.0007704437521081075,0.011130840549013091,0.8218670035504221,0.060043329572211805,-0.01252720686623268,0.0,417.2162423274951,416.56475121750776,416.9026610254118,416.925203931556
0.4200000000000001,4.9998023145606885,0.0017925846259062585,10.236328576156499,0.013774761617740161,6.282428562930743,0.0,-0.0002857707424265606,0.01946176449745257,0.9484344451883435,0.04265457412788566,0.008460015763735156,0.0,444.3461418570266,446.06315796662767,447.43741106833875,446.0216679626097
0.48000000000000015,4.999796360184477,0.0032003272014246957,10.292421652574959,0.01633829935454667,6.282581904636832,0.0,5.657630518855087e-05,0.027676373893858516,0.9213540109958395,0.04286731945377836,-0.013142654098066267,0.0,395.29942113799336,393.30392477445355,396.6541422324298,396.6749209230559
0.5400000000000001,4.999818049667246,0.005269299535976808,10.354331784307835,0.01853315458048499,6.281653038356474,0.0,0.0007686532676608759,0.04157726044933384,1.142117389751126,0.019436440056358736,-0.020624245197160555,0.0,474.5811992633033,474.00678010373747,475.75856020569137,473.9618776272345
0.6000000000000002,4.999895128130546,0.008092691762834083,10.422736125943475,0.01964272030495895,6.280276163394536,0.0,0.0019134512021475765,0.05263438506767194,1.1380291174377108,0.01653542512243586,-0.028054771652108675,0.0,404.40073587751436,403.7308315887039,403.87985649559795,403.6181317192954
0.6600000000000003,5.000092606073151,0.011763390091220459,10.499195667730575,0.020921778775335298,6.278980301662013,0.0,0.0048550952182840855,0.06986276653831763,1.4103229346068056,0.029484091699191823,-0.011084575222770246,0.0,489.6156335280975,490.87642905883393,488.97989535587345,489.9434099063058
0.7200000000000003,5.000493485481386,0.01649246749857042,10.591445290178347,0.022630311650992496,6.278036064071321,0.0,0.008603817606474433,0.08798291247824286,1.6643243318136782,0.026378403997660504,-0.027208799067222424,0.0,485.4291689355708,484.2179020046668,485.8406573779553,485.60791794205966
0.7800000000000004,5.00114183660631,0.022326628449725487,10.697869340963466,0.02413722901316362,6.276353657283661,0.0,0.013204144910356435,0.10666597744076153,1.8828040688648735,0.02246154174852521,-0.029756574636566113,0.0,475.67037764613644,475.4750937646301,475.9860803378416,475.68631559207716
0.8400000000000004,5.002072832342547,0.029199892049078514,10.812588046187145,0.025056671454643187,6.274868924382773,0.0,0.01798359727759948,0.12255490217976954,1.9410507030296,-0.005436110778280719,-0.016245872508997526,0.0,426.42086671130204,427.5732338554751,428.2635634384843,425.88415958124637
0.9000000000000005,5.003333855062929,0.03708837063956603,10.932812541897844,0.02452196166879972,6.2739525670641765,0.0,0.024148545740248793,0.14034407592815434,2.0662139878806616,-0.016972399003247398,-0.013393980858913669,0.0,447.54159272491637,447.7737451697108,449.8714339204884,448.93651985121033
0.9600000000000005,5.004993455022365,0.046054732606494085,11.061567576321043,0.02334879694340497,6.272913859954727,0.0,0.03126907187414552,0.15840608485677124,2.225325605928324,-0.025289430414456544,-0.026600199856408772,0.0,459.5785133486134,458.5306991590759,460.08844932195666,459.42956791282876
1.0200000000000005,5.007082871986407,0.05602403700332362,11.197602262119656,0.021454749416360386,6.271250531323137,0.0,0.03853860721522308,0.17373411784416232,2.308999986580889,-0.04867945347246692,-0.030065755332931286,0.0,436.2986758491684,436.00903704355983,437.99875214267,436.0487297010748
1.0800000000000005,5.009643403090478,0.06687032646989668,11.338704252310489,0.018188939171398744,6.269172638406115,0.0,0.04700194501966264,0.1874990554910274,2.3942286918556523,-0.0695589052921917,-0.04583232775557498,0.0,437.81776922650664,436.503463271471,438.58620253694187,436.84648864198255
1.1400000000000006,5.012773348684179,0.0784920853825843,11.486085461176092,0.014212981553399118,6.267012114896268,0.0,0.05757959693792389,0.199457747300888,2.5182172285802538,-0.06038453494775348,-0.021357346251383975,0.0,449.31593737662007,451.2950407374825,449.27635169194616,450.0163203873968
